paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-28955845,28955845,PMC5600417,10.1016/j.bbrep.2016.01.008,Comparative proteomic analysis of growth hormone secretagogue A233 treatment of murine macrophage cells J774A.2 indicates it has a role in antiviral innate response.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5600417.json,PMC XML downloaded and normalized.
pmid-27919079,27919079,,10.1038/nature20567,Receptor usage dictates HIV-1 restriction by human TRIM5α in dendritic cell subsets.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27898018,27898018,PMC5958544,10.3390/molecules21121537,Combating Ebola with Repurposed Therapeutics Using the CANDO Platform.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5958544.json,PMC XML downloaded and normalized.
pmid-27880899,27880899,,10.1016/j.celrep.2016.10.045,LC3C Contributes to Vpu-Mediated Antagonism of BST2/Tetherin Restriction on HIV-1 Release through a Non-canonical Autophagy Pathway.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27853512,27853512,PMC5105880,10.12688/f1000research.9118.2,Contextual Hub Analysis Tool (CHAT): A Cytoscape app for identifying contextually relevant hubs in biological networks.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5105880.json,PMC XML downloaded and normalized.
pmid-27844277,27844277,,10.1007/s12664-016-0709-1,Chronic hepatitis C virus infection in India: Regional demographics and distribution of viral genotypes.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27829024,27829024,PMC5102384,10.1371/journal.ppat.1005985,The KSHV K1 Protein Modulates AMPK Function to Enhance Cell Survival.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5102384.json,PMC XML downloaded and normalized.
pmid-27827425,27827425,PMC5101808,10.1038/srep36850,Downregulation of Aedes aegypti chromodomain helicase DNA binding protein 7/Kismet by Wolbachia and its effect on dengue virus replication.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5101808.json,PMC XML downloaded and normalized.
pmid-27822522,27822522,PMC5069743,10.1128/mSystems.00030-15,Local Action with Global Impact: Highly Similar Infection Patterns of Human Viruses and Bacteriophages.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5069743.json,PMC XML downloaded and normalized.
pmid-27808119,27808119,PMC5093548,10.1038/srep36197,Directional and reoccurring sequence change in zoonotic RNA virus genomes visualized by time-series word count.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5093548.json,PMC XML downloaded and normalized.
pmid-27805064,27805064,PMC5090363,10.1038/srep36444,Comprehensive DNA methylation analysis of the Aedes aegypti genome.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5090363.json,PMC XML downloaded and normalized.
pmid-27803188,27803188,PMC5090039,10.1128/mBio.01456-16,Hepatitis C Virus Proteins Interact with the Endosomal Sorting Complex Required for Transport (ESCRT) Machinery via Ubiquitination To Facilitate Viral Envelopment.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5090039.json,PMC XML downloaded and normalized.
pmid-27786485,27786485,,10.1021/acs.jproteome.6b00337,Elucidation of the Cellular Interactome of Ebola Virus Nucleoprotein and Identification of Therapeutic Targets.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27783949,27783949,PMC5098118,10.1016/j.celrep.2016.09.084,Solute Carrier NTCP Regulates Innate Antiviral Immune Responses Targeting Hepatitis C Virus Infection of Hepatocytes.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5098118.json,PMC XML downloaded and normalized.
pmid-27764250,27764250,PMC5072618,10.1371/journal.ppat.1005967,Histone H2B-IFI16 Recognition of Nuclear Herpesviral Genome Induces Cytoplasmic Interferon-β Responses.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5072618.json,PMC XML downloaded and normalized.
pmid-27758855,27758855,PMC5122761,10.1074/jbc.M116.734673,"Core Binding Factor β Protects HIV, Type 1 Accessory Protein Viral Infectivity Factor from MDM2-mediated Degradation.",available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-27749368,27749368,,10.1097/QCO.0000000000000322,Retroviral restriction: nature's own solution.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27748395,27748395,PMC5071646,10.1038/ncomms13150,Human genome-wide RNAi screen reveals host factors required for enterovirus 71 replication.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5071646.json,PMC XML downloaded and normalized.
pmid-27693583,27693583,,10.1016/j.bbrc.2016.09.150,vIRF3 encoded by Kaposi's sarcoma-associated herpesvirus inhibits T-cell factor-dependent transcription via a CREB-binding protein-interaction motif.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27690223,27690223,PMC5085607,10.7554/eLife.18296,Temporal proteomic analysis of HIV infection reveals remodelling of the host phosphoproteome by lentiviral Vif variants.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5085607.json,PMC XML downloaded and normalized.
pmid-27682269,27682269,PMC5041148,10.1038/srep34379,The Golgi associated ERI3 is a Flavivirus host factor.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5041148.json,PMC XML downloaded and normalized.
pmid-27681141,27681141,PMC5126365,10.1128/JVI.01451-16,Antagonism of BST-2/Tetherin Is a Conserved Function of the Env Glycoprotein of Primary HIV-2 Isolates.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-27681140,27681140,PMC5110172,10.1128/JVI.01246-16,The Antagonism of HIV-1 Nef to SERINC5 Particle Infectivity Restriction Involves the Counteraction of Virion-Associated Pools of the Restriction Factor.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-27677239,27677239,PMC5052702,10.1038/ncomms12761,Irreversible inhibitors of the 3C protease of Coxsackie virus through templated assembly of protein-binding fragments.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5052702.json,PMC XML downloaded and normalized.
pmid-27676132,27676132,,10.1021/acsinfecdis.6b00143,"Interactions of the Disordered Domain II of Hepatitis C Virus NS5A with Cyclophilin A, NS5B, and Viral RNA Show Extensive Overlap.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27655726,27655726,PMC5342076,10.18632/oncotarget.12104,"Gamma-interferon-inducible, lysosome/endosome-localized thiolreductase, GILT, has anti-retroviral activity and its expression is counteracted by HIV-1.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5342076.json,PMC XML downloaded and normalized.
pmid-27632082,27632082,PMC5025164,10.1371/journal.pcbi.1005074,Systems Biology-Based Investigation of Cellular Antiviral Drug Targets Identified by Gene-Trap Insertional Mutagenesis.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5025164.json,PMC XML downloaded and normalized.
