paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-26372689,26372689,PMC5473615,10.1002/stem.2190,Retinoic Acid Induces Ubiquitination-Resistant RIP140/LSD1 Complex to Fine-Tune Pax6 Gene in Neuronal Differentiation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5473615.json,PMC XML downloaded and normalized.
pmid-26329581,26329581,,10.1126/scisignal.aab1995,The E3 ligase APC/C(Cdh1) promotes ubiquitylation-mediated proteolysis of PAX3 to suppress melanocyte proliferation and melanoma growth.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-26304770,26304770,PMC4579044,10.1002/stem.2125,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC4579044.json,PMC XML downloaded and normalized.
pmid-25880082,25880082,PMC4399949,10.1371/journal.pone.0124154,Mechanisms contributing to differential regulation of PAX3 downstream target genes in normal human epidermal melanocytes versus melanoma cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC4399949.json,PMC XML downloaded and normalized.
pmid-25398439,25398439,,10.1158/0008-5472.CAN-14-1246,"PLK1 phosphorylates PAX3-FOXO1, the inhibition of which triggers regression of alveolar Rhabdomyosarcoma.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-25025573,25025573,,10.1016/j.cellsig.2014.07.006,Ret finger protein mediates Pax7-induced ubiquitination of MyoD in skeletal muscle atrophy.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-24613379,24613379,PMC4493911,10.1016/j.freeradbiomed.2014.02.023,Nrf2 deficiency promotes apoptosis and impairs PAX7/MyoD expression in aging skeletal muscle cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC4493911.json,PMC XML downloaded and normalized.
pmid-24554430,24554430,,10.1242/jcs.136259,RAGE signaling deficiency in rhabdomyosarcoma cells causes upregulation of PAX7 and uncontrolled proliferation.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-24435167,24435167,,10.1158/1541-7786.MCR-13-0337,Functional heterogeneity of PAX5 chimeras reveals insight for leukemia development.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-24107448,24107448,PMC3858449,10.1158/1535-7163.MCT-13-0277,Small molecule inhibition of PAX3-FOXO1 through AKT activation suppresses malignant phenotypes of alveolar rhabdomyosarcoma.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC3858449.json,PMC XML downloaded and normalized.
pmid-23967157,23967157,PMC3742784,10.1371/journal.pone.0071117,Increased corneal epithelial turnover contributes to abnormal homeostasis in the Pax6(+/-) mouse model of aniridia.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC3742784.json,PMC XML downloaded and normalized.
pmid-23814486,23814486,PMC3689237,10.1593/neo.121888,PAX3-FOXO1 induces up-regulation of Noxa sensitizing alveolar rhabdomyosarcoma cells to apoptosis.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-22898500,22898500,,10.1530/EJE-12-0410,Functional characterization of four novel PAX8 mutations causing congenital hypothyroidism: new evidence for haploinsufficiency as a disease mechanism.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-22546857,22546857,PMC3366393,10.1172/JCI45851,CD19 is a major B cell receptor-independent activator of MYC-driven B-lymphomagenesis.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
